Datetime,open,high,low,close,return_close,MA_8,MA_21,MA_30,MA_50,MA_100,MA_200,positive_returns,MA_UP,MA_DOWN,Derivada_8,Derivada_21,Derivada_30,Derivada_50,Derivada_100,Derivada_200
2022-05-27 09:30:00-04:00,181.86000061035156,186.8000030517578,181.0,185.00999450683594,,,,,,,,False,False,False,,,,,,
2022-05-27 10:30:00-04:00,185.0399932861328,186.47000122070312,183.6300048828125,184.47250366210938,-0.00290519896592234,,,,,,,False,False,False,,,,,,
2022-05-27 11:30:00-04:00,184.47999572753906,186.17999267578125,184.4499969482422,185.24989318847656,0.004214121405275106,,,,,,,True,False,False,,,,,,
2022-05-27 12:30:00-04:00,185.24989318847656,186.49000549316406,184.6300048828125,185.9600067138672,0.003833273602312559,,,,,,,True,False,False,,,,,,
2022-05-27 13:30:00-04:00,185.99000549316406,187.08999633789062,185.30999755859375,186.9759979248047,0.005463493085912763,,,,,,,True,False,False,,,,,,
2022-05-27 14:30:00-04:00,186.96499633789062,188.80999755859375,186.5800018310547,188.40499877929688,0.007642696765105095,,,,,,,True,False,False,,,,,,
2022-05-27 15:30:00-04:00,188.41000366210938,188.67999267578125,186.8800048828125,188.35000610351562,-0.0002918854390147052,,,,,,,False,False,False,,,,,,
2022-05-31 09:30:00-04:00,191.0,191.17999267578125,183.5,187.25,-0.005840223349454332,186.45917510986328,,,,,,False,False,False,,,,,,
2022-05-31 10:30:00-04:00,187.13499450683594,189.94000244140625,186.55999755859375,187.00999450683594,-0.00128173828125,186.70917510986328,,,,,,False,False,False,0.25,,,,,
2022-05-31 11:30:00-04:00,187.02000427246094,190.40499877929688,186.2899932861328,189.39939880371094,0.012776880204590668,187.32503700256348,,,,,,True,False,False,0.6158618927001953,,,,,
2022-05-31 12:30:00-04:00,189.41000366210938,190.74200439453125,187.69000244140625,188.0,-0.007388612701781816,187.6688003540039,,,,,,False,False,False,0.3437633514404297,,,,,
2022-05-31 13:30:00-04:00,188.02999877929688,189.4499969482422,187.57000732421875,187.9499969482422,-0.00026597367956282536,187.91754913330078,,,,,,False,False,False,0.248748779296875,,,,,
2022-05-31 14:30:00-04:00,187.99000549316406,188.13999938964844,184.85000610351562,187.44000244140625,-0.002713458447016537,187.97554969787598,,,,,,False,False,False,0.05800056457519531,,,,,
2022-05-31 15:30:00-04:00,187.44500732421875,188.44000244140625,186.3800048828125,186.7100067138672,-0.0038945567543260395,187.76367568969727,,,,,,False,False,False,-0.21187400817871094,,,,,
2022-06-01 09:30:00-04:00,187.89500427246094,190.53179931640625,185.69000244140625,185.84500122070312,-0.004632882341917943,187.4505500793457,,,,,,False,False,False,-0.3131256103515625,,,,,
2022-06-01 10:30:00-04:00,185.82000732421875,188.51280212402344,184.35000610351562,185.60989379882812,-0.0012650726160549075,187.24553680419922,,,,,,False,False,False,-0.20501327514648438,,,,,
2022-06-01 11:30:00-04:00,185.6300048828125,185.85000610351562,181.22000122070312,182.44000244140625,-0.017078245628746158,186.6742877960205,,,,,,False,False,False,-0.5712490081787109,,,,,
2022-06-01 12:30:00-04:00,182.44000244140625,184.44000244140625,181.9949951171875,183.418701171875,0.0053644963679666535,185.92670059204102,,,,,,True,False,False,-0.7475872039794922,,,,,
2022-06-01 13:30:00-04:00,183.4600067138672,185.5399932861328,182.72000122070312,185.32000732421875,0.010365934008888855,185.59170150756836,,,,,,True,False,False,-0.33499908447265625,,,,,
2022-06-01 14:30:00-04:00,185.33999633789062,185.67999267578125,183.5500030517578,184.94000244140625,-0.0020505334977010126,185.21545219421387,,,,,,False,False,False,-0.3762493133544922,,,,,
2022-06-01 15:30:00-04:00,184.9199981689453,185.60000610351562,182.94000244140625,182.99000549316406,-0.01054394356277788,184.6592025756836,186.13078162783668,,,,,False,False,True,-0.5562496185302734,,,,,
2022-06-02 09:30:00-04:00,183.125,191.4499969482422,181.97999572753906,189.1540069580078,0.033684907808115394,184.96470260620117,186.32811555408296,,,,,True,False,False,0.3055000305175781,0.197333926246273,,,,
2022-06-02 10:30:00-04:00,189.1699981689453,194.13999938964844,188.77999877929688,193.8000030517578,0.024561975548217818,185.959077835083,186.77228219168526,,,,,True,False,False,0.9943752288818359,0.4441666376023079,,,,
2022-06-02 11:30:00-04:00,193.8300018310547,195.0697021484375,192.99000549316406,194.4698944091797,0.0034566116969718674,187.06657791137695,187.2113298688616,,,,,True,False,False,1.1075000762939453,0.4390476771763474,,,,
2022-06-02 12:30:00-04:00,194.47999572753906,196.0,194.1999969482422,195.4387969970703,0.004982275487083854,188.69142723083496,187.6627008347284,,,,,True,True,False,1.6248493194580078,0.4513709658668006,,,,
2022-06-02 13:30:00-04:00,195.4600067138672,196.19000244140625,194.9499969482422,195.38499450683594,-0.00027529073582654995,190.18721389770508,188.0631292433966,,,,,False,True,False,1.4957866668701172,0.4004284086681764,,,,
2022-06-02 14:30:00-04:00,195.38999938964844,195.89990234375,193.6324005126953,194.0399932861328,-0.006883851158058452,191.27721214294434,188.33146231515067,,,,,False,True,False,1.0899982452392578,0.2683330717540855,,,,
2022-06-02 15:30:00-04:00,194.0500030517578,196.02999877929688,193.89089965820312,195.92999267578125,0.009740256931783264,192.6509609222412,188.69241405668714,,,,,True,True,False,1.373748779296875,0.3609517415364678,,,,
2022-06-03 09:30:00-04:00,190.0,193.322998046875,189.2299041748047,189.63499450683594,-0.032128813373468956,193.4815845489502,188.80598522367933,,,,,False,True,False,0.8306236267089844,0.1135711669921875,,,,
2022-06-03 10:30:00-04:00,189.6300048828125,189.9499969482422,185.21560668945312,186.3798065185547,-0.01716554477060883,193.13480949401855,188.7759762718564,188.09929656982422,,,,False,False,False,-0.3467750549316406,-0.030008951822935614,,,,
2022-06-03 11:30:00-04:00,186.39999389648438,188.72999572753906,186.25,188.4600067138672,0.011161081418471275,192.46730995178223,188.73124331519716,188.21429697672525,,,,True,False,False,-0.6674995422363281,-0.044732956659231604,0.11500040690103219,,,
2022-06-03 12:30:00-04:00,188.4499969482422,189.99000549316406,187.8699951171875,188.47390747070312,7.375971739742582e-05,191.71781158447266,188.7538103376116,188.3476771036784,,,,True,False,False,-0.7494983673095703,0.02256702241444941,0.13338012695314205,,,
2022-06-03 13:30:00-04:00,188.39999389648438,188.77999877929688,186.8000030517578,188.73049926757812,0.001361418141738735,190.87927436828613,188.79097711472284,188.4636973063151,,,,True,False,False,-0.8385372161865234,0.03716677711122429,0.11602020263671875,,,
2022-06-03 14:30:00-04:00,188.72000122070312,188.74099731445312,186.57000732421875,187.78500366210938,-0.00500976582554491,189.9292755126953,188.80740574428015,188.52453053792317,,,,False,False,False,-0.9499988555908203,0.016428629557310614,0.06083323160805776,,,
2022-06-03 15:30:00-04:00,187.76829528808594,187.86990356445312,186.60000610351562,187.17999267578125,-0.0032218280189015847,189.07177543640137,188.8297860281808,188.53133036295574,,,,False,False,False,-0.8575000762939453,0.02238028390064528,0.006799825032572926,,,
2022-06-06 09:30:00-04:00,191.38999938964844,193.3699951171875,188.57000732421875,192.07000732421875,0.026124665240839118,188.58927726745605,189.12621489025298,188.65349731445312,,,,True,False,True,-0.4824981689453125,0.2964288620721902,0.12216695149737689,,,
