Date,open,high,low,close,return_close,MA_8,MA_21,MA_30,MA_50,MA_100,MA_200,positive_returns,MA_UP,MA_DOWN,Derivada_8,Derivada_21,Derivada_30,Derivada_50,Derivada_100,Derivada_200,UP_series
2013-05-29 00:00:00-04:00,3004.75,3008.75,2978.25,2995.5,,,,,,,,False,False,False,,,,,,,0
2013-05-30 00:00:00-04:00,2995.0,3025.5,2981.75,3010.0,0.004840594224670314,,,,,,,True,False,False,,,,,,,0
2013-05-31 00:00:00-04:00,3011.0,3022.75,2976.25,2980.25,-0.009883720930232598,,,,,,,False,False,False,,,,,,,0
2013-06-03 00:00:00-04:00,2981.0,2995.0,2950.0,2985.5,0.0017615971814444187,,,,,,,True,False,False,,,,,,,0
2013-06-04 00:00:00-04:00,2986.5,3007.0,2961.0,2974.75,-0.003600736894992518,,,,,,,False,False,False,,,,,,,0
2013-06-05 00:00:00-04:00,2970.75,2977.75,2932.0,2938.5,-0.012185897974619664,,,,,,,False,False,False,,,,,,,0
2013-06-06 00:00:00-04:00,2939.25,2954.0,2910.5,2949.5,0.003743406499914892,,,,,,,True,False,False,,,,,,,0
2013-06-07 00:00:00-04:00,2948.25,2992.0,2940.0,2980.5,0.010510255975589189,2976.8125,,,,,,True,False,False,,,,,,,0
2013-06-10 00:00:00-04:00,2981.0,3004.0,2976.25,2987.0,0.0021808421405804523,2975.75,,,,,,True,False,False,-1.0625,,,,,,0
2013-06-11 00:00:00-04:00,2987.75,2989.0,2949.5,2963.5,-0.007867425510545645,2969.9375,,,,,,False,False,False,-5.8125,,,,,,0
2013-06-12 00:00:00-04:00,2965.5,2979.5,2919.5,2920.25,-0.014594229795849456,2962.4375,,,,,,False,False,False,-7.5,,,,,,0
2013-06-13 00:00:00-04:00,2922.75,2969.5,2897.75,2962.25,0.014382330279941735,2959.53125,,,,,,True,False,False,-2.90625,,,,,,0
2013-06-14 00:00:00-04:00,2966.25,2968.5,2938.75,2942.0,-0.006836019917292546,2955.4375,,,,,,False,False,False,-4.09375,,,,,,0
2013-06-17 00:00:00-04:00,2936.5,2989.75,2936.5,2970.0,0.009517335146159045,2959.375,,,,,,True,False,False,3.9375,,,,,,0
2013-06-18 00:00:00-04:00,2972.5,3002.5,2971.0,2993.5,0.007912457912457871,2964.875,,,,,,True,False,False,5.5,,,,,,0
2013-06-19 00:00:00-04:00,2996.75,3003.5,2958.25,2961.5,-0.010689827960581266,2962.5,,,,,,False,False,False,-2.375,,,,,,0
2013-06-20 00:00:00-04:00,2960.75,2962.25,2882.25,2886.5,-0.025325004220834058,2949.9375,,,,,,False,False,False,-12.5625,,,,,,0
2013-06-21 00:00:00-04:00,2888.0,2907.5,2882.25,2895.5,0.0031179629308850654,2941.4375,,,,,,True,False,False,-8.5,,,,,,0
