Datetime;open;high;low;close;return_close;MA_8;MA_21;MA_30;MA_50;MA_100;MA_200;positive_returns;MA_UP;MA_DOWN;Derivada_8;Derivada_21;Derivada_30;Derivada_50;Derivada_100;Derivada_200
2023-05-26 09:00:00+02:00;91.377.998.046.875;91.382.001.953.125;9.127.900.390.625;9.127.900.390.625;;;;;;;;False;False;False;;;;;;
2023-05-26 09:01:00+02:00;9.127.099.609.375;9.129.599.609.375;9.125.900.390.625;9.129.599.609.375;0.00018615658336340601;;;;;;;True;False;False;;;;;;
2023-05-26 09:02:00+02:00;9.129.599.609.375;9.129.599.609.375;9.126.599.609.375;9.129.400.390.625;-2,18E+11;;;;;;;False;False;False;;;;;;
2023-05-26 09:03:00+02:00;91.297.001.953.125;91.332.001.953.125;91.297.001.953.125;91.327.001.953.125;0.000361448128717079;;;;;;;True;False;False;;;;;;
2023-05-26 09:04:00+02:00;9.131.599.609.375;9.133.599.609.375;91.297.998.046.875;91.322.001.953.125;-5,47E+10;;;;;;;False;False;False;;;;;;
2023-05-26 09:05:00+02:00;91.322.001.953.125;91.322.001.953.125;9128.5;9.129.099.609.375;-0.0003395223353832577;;;;;;;False;False;False;;;;;;
2023-05-26 09:06:00+02:00;9129.5;9129.5;91.277.998.046.875;9128.0;-0.00012045102168356525;;;;;;;False;False;False;;;;;;
2023-05-26 09:07:00+02:00;9.124.400.390.625;9.124.400.390.625;9.121.400.390.625;9121.5;-0.0007120946538125006;9.128.800.048.828.120;;;;;;False;False;False;;;;;;
2023-05-26 09:08:00+02:00;9.121.599.609.375;9.124.099.609.375;9.121.599.609.375;91.232.998.046.875;0.00019731455215699079;9.128.224.975.585.930;;;;;;True;False;False;-0.5750732421875;;;;;
2023-05-26 09:09:00+02:00;91.232.998.046.875;91.232.998.046.875;91.192.001.953.125;91.192.001.953.125;-0.0004493559855276441;9.126.925.048.828.120;;;;;;False;False;False;-12.999.267.578.125;;;;;
2023-05-26 09:10:00+02:00;9.119.900.390.625;9.130.400.390.625;9.119.099.609.375;9.130.400.390.625;0.0012281993017608794;9.127.050.048.828.120;;;;;;True;False;False;0.125;;;;;
2023-05-26 09:11:00+02:00;91.302.001.953.125;9.133.400.390.625;91.302.001.953.125;9.133.099.609.375;0.0002956298337990493;9.127.099.975.585.930;;;;;;True;False;False;0.0499267578125;;;;;
2023-05-26 09:12:00+02:00;9.133.099.609.375;91.362.998.046.875;9.132.599.609.375;91.362.998.046.875;0.00035039531477520924;9.127.612.426.757.810;;;;;;True;False;False;0.512451171875;;;;;
2023-05-26 09:13:00+02:00;9137.5;91.397.998.046.875;9137.5;9139.5;0.0003502725809039209;9.128.912.475.585.930;;;;;;True;False;False;1.300.048.828.125;;;;;
2023-05-26 09:14:00+02:00;9.139.599.609.375;9142.0;9.139.599.609.375;91.407.001.953.125;0.00013131958121337384;9130.5;;;;;;True;False;False;15.875.244.140.625;;;;;
2023-05-26 09:15:00+02:00;91.407.001.953.125;9.143.599.609.375;91.407.001.953.125;9.143.099.609.375;0.00026249784056253667;9.133.199.951.171.870;;;;;;True;False;False;2.699.951.171.875;;;;;
2023-05-26 09:16:00+02:00;91.437.001.953.125;9.149.599.609.375;91.437.001.953.125;91.492.001.953.125;0.0006672338920210574;91.364.375;;;;;;True;False;False;3.237.548.828.125;;;;;
2023-05-26 09:17:00+02:00;91.497.998.046.875;9151.5;91.497.998.046.875;9.150.900.390.625;0.0001858299388148854;9.140.400.024.414.060;;;;;;True;False;False;39.625.244.140.625;;;;;
2023-05-26 09:18:00+02:00;91.512.998.046.875;9.152.599.609.375;91.507.001.953.125;9152.5;0.00017480349547227547;9.143.162.475.585.930;;;;;;True;False;False;2.762.451.171.875;;;;;
2023-05-26 09:19:00+02:00;91.522.001.953.125;91.537.001.953.125;91.512.998.046.875;91.537.001.953.125;0.00013113305790768415;9.145.737.548.828.120;;;;;;True;False;False;25.750.732.421.875;;;;;
2023-05-26 09:20:00+02:00;9.154.400.390.625;9.155.099.609.375;91.507.001.953.125;9.151.900.390.625;-0.00019662045392543348;9.147.687.622.070.310;9.135.914.341.517.850;;;;;False;True;False;19.500.732.421.875;;;;;
2023-05-26 09:21:00+02:00;9.151.900.390.625;9.152.400.390.625;9150.5;91.517.001.953.125;-2,19E+10;9.149.212.646.484.370;9.137.047.665.550.590;;;;;False;True;False;15.250.244.140.625;11.333.240.327.385.200;;;;
2023-05-26 09:22:00+02:00;9.152.099.609.375;9152.5;9.147.599.609.375;9148.0;-0.0004043178025429084;9.150.125.122.070.310;9.137.923.874.627.970;;;;;False;True;False;0.9124755859375;0.8762090773816453;;;;
2023-05-26 09:23:00+02:00;9147.0;91.477.001.953.125;91.452.998.046.875;91.452.998.046.875;-0.0002951678304000671;9.150.400.146.484.370;9.138.680.989.583.330;;;;;False;True;False;0.2750244140625;0.757114955356883;;;;
2023-05-26 09:24:00+02:00;9.144.599.609.375;9.144.599.609.375;9.141.099.609.375;91.412.001.953.125;-0.00044827501148714255;9.149.400.146.484.370;9.139.085.751.488.090;;;;;False;False;False;-1.0;0.40476190476147167;;;;
2023-05-26 09:25:00+02:00;9140.0;9.140.400.390.625;91.327.998.046.875;91.357.998.046.875;-0.0005907747899197568;9.147.512.573.242.180;9.139.257.161.458.330;;;;;False;False;False;-18.875.732.421.875;0.17140997023852833;;;;
2023-05-26 09:26:00+02:00;9135.5;9135.5;91.347.998.046.875;91.347.998.046.875;-0.00010945949138319033;9.145.300.048.828.120;9.139.528.599.330.350;;;;;False;False;False;-22.125.244.140.625;0.27143787202294334;;;;
2023-05-26 09:27:00+02:00;91.352.001.953.125;91.352.001.953.125;9132.5;9.132.599.609.375;-0.00024085862411249437;9.142.662.475.585.930;9.139.747.628.348.210;;;;;False;False;False;-26.375.732.421.875;0.219029017856883;;;;
2023-05-26 09:28:00+02:00;9.132.599.609.375;9133.0;91.317.998.046.875;9132.5;-1,09E+11;9.140.237.426.757.810;9.140.271.437.872.020;;;;;False;False;True;-2.425.048.828.125;0.5238095238091773;;;;
2023-05-26 09:29:00+02:00;9.133.099.609.375;9.133.599.609.375;9.131.400.390.625;9.133.599.609.375;0.00012040617300845824;9.137.974.853.515.620;9.140.761.904.761.900;9.136.990.006.510.410;;;;True;False;True;-22.625.732.421.875;0.49046688988164533;;;;
2023-05-26 09:30:00+02:00;9.133.599.609.375;9136.5;9.133.599.609.375;9.134.900.390.625;0.00014241715267049315;913.633.740.234.375;9.141.509.533.110.110;913.722.333.984.375;;;;True;False;True;-1.637.451.171.875;0.747628348213766;0.23333333333175688;;;
2023-05-26 09:31:00+02:00;9.135.099.609.375;9.135.099.609.375;9132.0;9.132.099.609.375;-0.0003066022759125042;9.134.687.377.929.680;914.159.044.828.869;9.137.306.673.177.080;;;;False;False;True;-16.500.244.140.625;0.080915178572468;0.08333333333393966;;;
2023-05-26 09:32:00+02:00;9132.0;9132.5;9.126.099.609.375;9.126.099.609.375;-0.0006570230567612967;91.327.998.046.875;9.141.257.114.955.350;9.137.196.647.135.410;;;;False;False;True;-18.875.732.421.875;-0.33333333333393966;-0.11002604166606034;;;
